Court Type	Court	County	Prefix	First Name	Middle Name	Last Name	Suffix	Title	Address	City	Zip Code	Phone	Email	 
Municipal	New Hope, Town of	Collin		Suzanne	S.	Marsh		Presiding Judge	P O Box 562	McKinney	75070-8139	(972)548-2489	
County	County Court at Law No. 1	Collin		Corinne	Ann	Mason		Judge	2100 Bloomdale Rd, Ste 20364	McKinney	75071	(972)548-3860	 astarnes@co.collin.tx.us
District	469th District Court	Collin		Piper		McCraw		Judge	2100 Bloomdale Rd, Ste 30014	McKinney	75071	(972)548-5660	 469@collincountytx.gov
Municipal	Allen	Collin		Donald	R.	McDermitt		Associate Judge	301 Century Parkway	Allen	75013	(214)509-4380	 fallen@cityofallen.org
County	Probate Court No. 1	Collin		Shaunda		McDonald-Willey		Court Coordinator	2100 Bloomdale Rd, Ste 12368	McKinney	75071	(972)548-3810	 smcdonald-willey@co.collin.tx.us
Municipal	Plano	Collin		Paul	Francis	McNulty		Presiding Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
Municipal	Murphy	Collin		Ashley	D.	McSwain		Associate Judge	206 N Murphy Rd	Murphy	75094-3512	(972)468-4250	 courts@murphytx.org
Municipal	Wylie	Collin		Ashley	D.	McSwain		Associate Judge	2000 N Highway 78	Wylie	75098-6043	(972)429-8080	 court@wylietexas.gov
Justice of the Peace	Precinct 3	Collin		Mike	A.	Missildine		Judge	920 E Park Blvd, Ste 230	Plano	75074	(972)881-3001	 jp3admin@collincountytx.gov
Municipal	Allen	Collin		Michelle	Myers	Montemayor		Associate Judge	301 Century Parkway	Allen	75013	(214)509-4380	 fallen@cityofallen.org
Municipal	Melissa	Collin		David	P.	Moore		Presiding Judge	3411 Barker Ave	Melissa	75454	(972)838-2034	 court@cityofmelissa.com
Municipal	Prosper	Collin		David	P.	Moore		Presiding Judge	P O Box 307	Prosper	75078	(972)347-3020	 municipal_court@prospertx.gov
District	416th District Court	Collin		Destiny		Moses		Court Reporter	2100 Bloomdale Rd, Ste 20030	McKinney	75071	(972)548-4579	 sjanway@collincountytx.gov
County	County Court at Law No. 1	Collin		Tom		Mullins		Court Reporter	2100 Bloomdale Rd, Ste 20364	McKinney	75071	(972)548-3866	 astarnes@co.collin.tx.us
District	219th District Court	Collin		Amy		Munger		Court Coordinator	2100 Bloomdale Rd, Ste 20132	McKinney	75071-8318	(972)548-4662	 219@collincountytx.gov
Municipal	Nevada	Collin		Raymond	D.	Noah		Presiding Judge	424 E FM 6	Nevada	75173	(972)853-0027	
Municipal	Parker	Collin		Raymond	D.	Noah		Presiding Judge	5700 E Parker Rd	Parker	75002	(972)442-6999	 lnewton@parkertexas.us
District	366th District Court	Collin		Tomasz (Tom)		Nowak		Judge	2100 Bloomdale Rd, Ste 30146	McKinney	75071	(972)548-4570	 366@co.collin.tx.us
District	493rd District Court	Collin		Christine	A.	Nowak		Judge	2100 Bloomdale Rd, Ste 20250	McKinney	75071	(214)491-4870	 493@collincountytx.gov
District	199th District Court	Collin		Leila		Olivarri		Court Coordinator	2100 Bloomdale Rd, Ste 10030	McKinney	75071-8318	(972)548-4415	 199@collincountytx.gov
Municipal	Parker	Collin		Efren		Ordonez		Associate Judge	5700 E Parker Rd	Parker	75002	(972)442-6999	 lnewton@parkertexas.us
Municipal	Plano	Collin		Efren		Ordonez		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
Municipal	McKinney	Collin		Claire	M.	Petty		Presiding Judge	130 S Chestnut	McKinney	75069	(972)547-7676	 contact-courts@mckinneytexas.org
Municipal	Frisco	Collin		Christopher		Pochyla		Associate Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
Municipal	Allen	Collin		Cynthia		Porter-Gore		Presiding Judge	301 Century Parkway	Allen	75013	(214)509-4380	 fallen@cityofallen.org
Municipal	Plano	Collin		Kristine	S.	Primrose		Associate Judge	P O Box 860828	Plano	75086-0828	(972)941-2199	 court@plano.gov
District	468th District Court	Collin		Kim		Quillin		Court Coordinator	2100 Bloomdale Rd, Ste 20276	McKinney	75071	(972)547-7260	 468@collincountytx.gov
County	County Court at Law No. 3	Collin		Mindy		Quint		Court Coordinator	2100 Bloomdale Rd, Ste 10256	McKinney	75071	(972)548-3695	
Justice of the Peace	Precinct 1	Collin		Paul	Michael	Raleeh		Judge	2300 Bloomdale Rd, Ste 1164	McKinney	75071	(972)548-4125	 jp1admin@collincountytx.gov
District	401st District Court	Collin		Charla		Reamy		Court Reporter	2100 Bloomdale Rd, Ste 30030	McKinney	75071	(972)548-4247 - ext.           	 tlsharkey@co.collin.tx.us
District	469th District Court	Collin		Shannon		Reynolds		Court Coordinator	2100 Bloomdale Rd, Ste 30014	McKinney	75071	(972)548-5660	 469@collincountytx.gov
Municipal	Frisco	Collin		Jeff	Brian	Richter		Associate Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
County	County Court at Law No. 4	Collin		David	Douglas	Rippel		Judge	2100 Bloomdale Rd, Ste 10374	McKinney	75071	(972)548-3840	
District	296th District Court	Collin		John	R.	Roach	Jr.	Judge	2100 Bloomdale Rd, Ste 20012	McKinney	75071	(972)548-4409 - ext. 4409      	 296@co.collin.tx.us
District	470th District Court	Collin		Stacey		Samples		Court Coordinator	2100 Bloomdale Rd, 2nd Fl	McKinney	75071	(972)548-5670	 470@co.collin.tx.us
District		Collin		William		Schultz		Court Administrator	2100 Bloomdale Rd, Ste 10146	McKinney	75071	(972)548-4542	
District	401st District Court	Collin		Tammy		Sharkey		Court Coordinator	2100 Bloomdale Rd, Ste 30030	McKinney	75071	(972)548-4241	 tlsharkey@co.collin.tx.us
Justice of the Peace	Precinct 2	Collin		Ellen		Skinner		Judge	1025 S State Hwy 78	Lavon	75166	(972)547-1880	 spowell@co.collin.tx.us
District	380th District Court	Collin		Benjamin	N.	Smith		Judge	2100 Bloomdale Rd, Ste 30132	McKinney	75071	(972)548-4762	 380@co.collin.tx.us
District		Collin		Amanda		Solomon	(Criminal)	Magistrate					
County	County Court at Law No. 1	Collin		Adri		Starnes		Court Coordinator	2100 Bloomdale Rd, Ste 20364	McKinney	75071	(972)548-3860	 astarnes@co.collin.tx.us
County	County Court at Law No. 6	Collin		Kathy		Szotek		Court Reporter	2100 Bloomdale Rd, Ste 30354	McKinney	75071	(972)547-1853	 sables@collincountytx.gov
District	416th District Court	Collin		Andrea	Stroh	Thompson		Judge	2100 Bloomdale Rd, Ste 20030	McKinney	75071	(972)548-4520	 sjanway@collincountytx.gov
County	County Court at Law No. 2	Collin		Lisa		Todd		Court Coordinator	2100 Bloomdale Rd, Ste 10344	McKinney	75071	(972)548-3820	 ltodd@collincountytx.gov
District	199th District Court	Collin		Angela	Michelle	Tucker		Judge	2100 Bloomdale Rd, Ste 10030	McKinney	75071-8318	(972)548-4415	 199@collincountytx.gov
County	County Court at Law No. 2	Collin		Position		Vacant		Court Reporter	2100 Bloomdale Rd, Ste 10344	McKinney	75071	(972)548-3823	 ltodd@collincountytx.gov
District	366th District Court	Collin		Antoinette		Varela		Court Reporter	2100 Bloomdale Rd, Ste 30146	McKinney	75071	(972)548-4572	 366@co.collin.tx.us
Justice of the Peace	Precinct 4	Collin		Vincent	Joseph	Venegoni	Jr	Judge	8585 John Wesley Dr, Ste 130	Frisco	75034	(972)731-7300	 jp4admin@collincountytx.gov
Municipal	Frisco	Collin		Christine		Ventura		Associate Judge	8450 Moore St	Frisco	75034	(972)292-5555	 mfreeman@friscotexas.gov
County	County Court at Law No. 7	Collin		David		Waddill		Judge	2100 Bloomdale Rd, Ste 30372	McKinney	75071	(972)548-5680	
County	County Court at Law No. 2	Collin		Barnett		Walker		Judge	2100 Bloomdale Rd, Ste 10344	McKinney	75071	(972)548-3820	 ltodd@collincountytx.gov
County	County Court at Law No. 3	Collin		Claudia		Webb		Court Reporter	2100 Bloomdale Rd, Ste 10256	McKinney	75071	(972)548-3834	
Municipal	Lavon	Collin		Keith		Wheeler		Associate Judge	P O Box 340	Lavon	75166	(972)843-4219	 sjohnson@lavontx.gov
District	417th District Court	Collin		Cynthia	McCrann	Wheless		Judge	2100 Bloomdale Rd, Ste 30290	McKinney	75071	(972)548-4658	
District		Collin		Greg		Willis		Criminal Attorney	2100 Bloomdale Rd, Ste 20004	McKinney	75071	(972)548-4323	
District	429th District Court	Collin		Jill	R.	Willis		Judge	2100 Bloomdale Rd, Ste 10014	McKinney	75071	(972)547-5720	 429@collincountytx.gov
County	County Court at Law No. 4	Collin		Darla		Wright		Court Coordinator	2100 Bloomdale Rd, Ste 10374	McKinney	75071	(972)548-3840	
District	468th District Court	Collin		Lindsey		Wynne		Judge	2100 Bloomdale Rd, Ste 20276	McKinney	75071	(972)547-7260	 468@collincountytx.gov
District	100th District Court	Collingsworth		Tammy		Brinson		Court Coordinator	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
County		Collingsworth		G.	Keith	Davis		Attorney	P O Box 446	Wellington	79095-3039	(806)447-2518	
Municipal	Wellington	Collingsworth		Jerry	D.	Hamby		Presiding Judge	P O Box 949	Wellington	79095	(806)447-2544	 city.sherrie@windstream.net
Justice of the Peace	Countywide	Collingsworth		Jo Rita		Henard		Judge	800 W Ave, Box 4	Wellington	79095-3039	(806)447-5555	 jo.henard@co.collingsworth.tx.us
County	County Clerk Office	Collingsworth	Ms.	Jackie		Johnson		Clerk	800 W Ave, Box 10	Wellington	79095-3039	(806)447-2408	
District	District Clerk Office	Collingsworth	Ms.	Jackie		Johnson		Clerk	800 W Ave, Box 10	Wellington	79095-3039	(806)447-2408	
County	County Court	Collingsworth		Scot		Martindale		Judge	800 W Ave, #13	Wellington	79095-3039	(806)447-5408	 john.james@co.collingsworth.tx.us
District	100th District Court	Collingsworth		Dale	A.	Rabe		Judge	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
District	100th District Court	Collingsworth		Position		Vacant		Court Reporter	P O Box 887	Clarendon	79226-0887	(806)874-0122	 tammybrinson100@hotmail.com
District	25th District Court	Colorado		Lynn		Bothe		Court Coordinator	211 W Court St	Seguin	78155-2545	(830)303-8852 - ext. 1265      	 lynnb@co.guadalupe.tx.us
District	2nd 25th District Court	Colorado		Jessica	R.	Crawford		Judge	211 W Court St, Rm 220A	Seguin	78155	(830)303-9705	 rachel.luna@co.guadalupe.tx.us
District	District Clerk Office	Colorado		Valerie	Dunn	Harmon		Clerk	400 Spring St, Rm 103	Columbus	78934	(979)732-2536	 valerie.harmon@co.colorado.tx.us
Justice of the Peace	Precinct 1 Place 1	Colorado		Billy		Hefner		Judge	P O Box 783	Columbus	78934-0783	(979)732-2734	 jp1@co.colorado.tx.us
County		Colorado		Jay		Johannes		Attorney	400 Spring St, Rm 204	Columbus	78934	(979)732-8203	
District	25th District Court	Colorado		D'Lois	L.	Jones		Court Reporter	211 W Court St	Seguin	78155-2545	(830)303-8852 - ext. 1265      	 lynnb@co.guadalupe.tx.us
Municipal	Weimar	Colorado		Linda	L.	Kobersky		Presiding Judge	P O Box 67	Weimar	78962-0067	(979)725-8554	 citysec@weimartexas.org
District	2nd 25th District Court	Colorado		Rachel		Luna		Court Coordinator	211 W Court St, Rm 220A	Seguin	78155	(830)303-9705	 rachel.luna@co.guadalupe.tx.us
County	County Court	Colorado		Sharon		Marsalia		Court Coordinator	P O Box 236	Columbus	78934-0236	(979)732-2604	
County	County Clerk Office	Colorado	Ms.	Kimberly		Menke		Clerk	318 Spring St, Ste 103	Columbus	78934-2465	(979)732-2155	
District	25th District Court	Colorado		William	D.	Old	III	Judge	211 W Court St	Seguin	78155-2545	(830)303-8852 - ext. 1265      	 lynnb@co.guadalupe.tx.us
Municipal	Columbus	Colorado		Leonard	E.	Peters		Presiding Judge	P O Box 705	Columbus	78934	(979)732-3981	 court@columbustexas.net
County	County Court	Colorado		Ty		Prause		Judge	P O Box 236	Columbus	78934-0236	(979)732-2604	
Justice of the Peace	Precinct 2 Place 1	Colorado		Boe	S.	Reeves		Judge	P O Box 945	Weimar	78962	(979)725-8833	 jp2@co.colorado.tx.us
District	2nd 25th District Court	Colorado		Lori		Schmid		Court Reporter	211 W Court St, Rm 220A	Seguin	78155	(830)302-7005	 rachel.luna@co.guadalupe.tx.us
Justice of the Peace	Precinct 3 Place 1	Colorado		Francis	John	Truchard		Judge	1117 Travis St	Columbus	78934	(979)732-6607	 jp3@co.colorado.tx.us
Municipal	Columbus	Colorado		Stan	M.	Warfield		Associate Judge	P O Box 705	Columbus	78934	(979)732-3981	 court@columbustexas.net
Municipal	Eagle Lake	Colorado		Stan	M.	Warfield		Presiding Judge	P O Box 38	Eagle Lake	77434-0038	(979)234-2640	 court@coeltx.net
Justice of the Peace	Precinct 4 Place 1	Colorado		Stan	M.	Warfield		Judge	P O Drawer 396	Eagle Lake	77434-0396	(979)234-2042	 jp4@co.colorado.tx.us
Municipal	New Braunfels	Comal		Wade		Arledge		Associate Judge	550 Landa St	New Braunfels	78130-6110	(830)221-4180	 court@newbraunfels.gov
District	466th District Court	Comal		Stephanie	S.	Bascon		Judge	150 N Seguin	New Braunfels	78130	(830)221-1270	 dcasmt@co.comal.tx.us
Municipal	New Braunfels	Comal		James	S.	Bettersworth		Associate Judge	550 Landa St	New Braunfels	78130-6110	(830)221-4180	 court@newbraunfels.gov
District	22nd District Court	Comal		R. Bruce		Boyer		Judge	150 N Seguin, Ste 317	New Braunfels	78130	(830)221-1270	 dcasmt@co.comal.tx.us
County	County Court at Law No. 1	Comal		Robin		Brame		Court Reporter	199 Main Plaza, Ste 1102	New Braunfels	78130	(830)221-1180	
Justice of the Peace	Precinct 1	Comal		Tom	P.	Clark		Judge	145 David Jonas Dr	New Braunfels	78132	(830)608-2025	 clarkt@co.comal.tx.us
District	433rd District Court	Comal		Cindy		Cummings		Court Reporter	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1279	 dcasmt@co.comal.tx.us
District	22nd District Court	Comal		Megan		Dow	(Civil)	Court Coordinator	150 N Seguin, Ste 317	New Braunfels	78130	(830)221-1270	 dcasmt@co.comal.tx.us
Municipal	Bulverde	Comal		Darrell		Dullnig		Presiding Judge	30360 Cougar Blvd	Bulverde	78163	(830)438-3612	 court@bulverdetx.gov
Municipal	Garden Ridge	Comal		Darrell		Dullnig		Presiding Judge	9400 Municipal Pkwy	Garden Ridge	78266-1839	(210)651-6632	 court@ci.garden-ridge.tx.us
District	22nd District Court	Comal		Grace		Duncan		Court Reporter	110 E MLK Dr, Rm 105	San Marcos	78666-5542	(512)393-7700	 dcasmt@co.comal.tx.us
Justice of the Peace	Precinct 4	Comal		Ashley	Rae	Evans		Judge	P O Box 2038	Canyon Lake	78133-0023	(830)964-3886	
County	County Court at Law No. 3	Comal		Amy		Ferro		Court Reporter	199 Main Plaza, Ste 1102-3	New Braunfels	78130	(830)221-1180	 gridek@co.comal.tx.us
County	County Court at Law No. 1	Comal		Randy		Gray		Judge	199 Main Plaza, Ste 1102	New Braunfels	78130	(830)221-1180	
County	County Court at Law No. 3	Comal		Kate		Grider		Court Coordinator	199 Main Plaza, Ste 1102-3	New Braunfels	78130	(830)221-1180	 gridek@co.comal.tx.us
Municipal	Bulverde	Comal		Ryan		Henry		Associate Judge	30360 Cougar Blvd	Bulverde	78163	(830)438-3612	 court@bulverdetx.gov
District	466th District Court	Comal		Frances		Janezic		Court Reporter	150 N Seguin	New Braunfels	78130	(830)221-1270	 dcasmt@co.comal.tx.us
County	County Court at Law No. 3	Comal		Lewis		Jones	(Mental Health)	Court Coordinator	199 Main Plaza, Ste 1102-3	New Braunfels	78130	(830)221-1180	 gridek@co.comal.tx.us
District	District Clerk Office	Comal	Ms.	Heather		Kellar		Clerk	150 N Seguin, Ste 304	New Braunfels	78130-5160	(830)221-1250	
County	County Court	Comal		Caitlin		Koehler		Court Coordinator	100 Main Plaza	New Braunfels	78130-5122	(830)221-1109	 krause@co.comal.tx.us
County	County Clerk Office	Comal	Ms.	Bobbie		Koepp		Clerk	150 N Seguin, Ste 1037	New Braunfels	78130-5122	(830)221-1230	
County	County Court	Comal		Sherman		Krause		Judge	100 Main Plaza	New Braunfels	78130-5122	(830)221-1109	 krause@co.comal.tx.us
County		Comal		Andrew	Drake	Leonie	III	Magistrate	3000 IH 35 South	New Braunfels	78130	(830)643-3810 - ext. 2174      	
District	207th District Court	Comal		Sheri		Linder		Court Reporter	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1278	 dcasmt@co.comal.tx.us
District		Comal		Jennifer	Anne	Owens Tharp		Criminal Attorney	150 N Seguin, Ste 307	New Braunfels	78130-5161	(830)221-1300	
County	County Court at Law No. 2	Comal		Dana		Pack		Court Reporter	199 Main Plaza, Ste 1102	New Braunfels	78130-5122	(830)221-1180	 rileyc@co.comal.tx.us
District	207th District Court	Comal		Tracie	Wright	Reneau		Judge	150 N Seguin	New Braunfels	78130-5159	(830)221-1270	 dcasmt@co.comal.tx.us
County	County Court at Law No. 2	Comal		Christina		Riley		Court Coordinator	199 Main Plaza, Ste 1102	New Braunfels	78130-5122	(830)221-1180	 rileyc@co.comal.tx.us
District	274th District Court	Comal		Rick		Roberts		Court Reporter	P O Box 311905	New Braunfels	78131-1905	(830)228-4634	 dcasmt@co.comal.tx.us
Justice of the Peace	Precinct 3	Comal		Michael	Egon	Rust		Judge	3079 W San Antonio	New Braunfels	78130-5166	(830)626-4888	 moline@co.comal.tx.us
District	274th District Court	Comal		Gary	L.	Steel		Judge	150 N Seguin	New Braunfels	78130	(830)221-1270	 dcasmt@co.comal.tx.us
County	County Court at Law No. 2	Comal		Charles	A.	Stephens	II	Judge	199 Main Plaza, Ste 1102	New Braunfels	78130-5122	(830)221-1180	 rileyc@co.comal.tx.us
Municipal	Garden Ridge	Comal		Charles	Roland	Stubblefield		Associate Judge	9400 Municipal Pkwy	Garden Ridge	78266-1839	(210)651-6632	 court@ci.garden-ridge.tx.us
County	County Court at Law No. 3	Comal		Michele		Styslinger	(Probate)	Court Coordinator	199 Main Plaza, Ste 1102-3	New Braunfels	78130	(830)221-1180	 gridek@co.comal.tx.us
District		Comal		Steve		Thomas		Court Administrator					
District	207th District Court	Comal		Jeanie		Villareal	(Criminal)	Court Coordinator	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1270	 dcasmt@co.comal.tx.us
District	22nd District Court	Comal		Jeanie		Villareal	(Criminal)	Court Coordinator	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1270	 dcasmt@co.comal.tx.us
District	274th District Court	Comal		Jeanie		Villareal	(Criminal)	Court Coordinator	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1270	 dcasmt@co.comal.tx.us
District	433rd District Court	Comal		Dibrell (Dib)	W.	Waldrip		Judge	150 N Seguin, Ste 317	New Braunfels	78130-5159	(830)221-1270	 dcasmt@co.comal.tx.us
Justice of the Peace	Precinct 2	Comal		James (Rick)		Walker		Judge	30470 Cougar Bend	Bulverde	78163-0046	(830)387-7600	 walker@co.comal.tx.us
County	County Court at Law No. 3	Comal		Deborah	Linnartz	Wigington		Judge	199 Main Plaza, Ste 1102-3	New Braunfels	78130	(830)221-1180	 gridek@co.comal.tx.us
County	County Court at Law No. 1	Comal		Judith		Zamora		Court Coordinator	424 S Castell, Ste 301	New Braunfels	78130-5166	(830)221-1180 - ext. 1622      	
Municipal	New Braunfels	Comal		Rose	Marie	Zamora		Presiding Judge	550 Landa St	New Braunfels	78130-6110	(830)221-4180	 court@newbraunfels.gov
District	220th District Court	Comanche		Shaun		Carpenter		Judge	P O Box 529	Meridian	76665	(254)435-6626	 crtadm220@bosquecounty.us
Justice of the Peace	Countywide	Comanche		Johnny	Ray	Conine		Judge	101 W Central	Comanche	76442-3297	(325)356-3543	 comanchejpclerk@gmail.com
County	County Court	Comanche		Carolyn		Crossland		Court Coordinator	101 W Central	Comanche	76442-3297	(325)356-2466	 courtcoordinator047@co.comanche.tx.us
County	County Court	Comanche		Stephanie	Lynn	Davis		Judge	101 W Central	Comanche	76442-3297	(325)356-2466	 courtcoordinator047@co.comanche.tx.us
Municipal	Comanche	Comanche		Toni	D.	Driver		Presiding Judge	101 E Grand	Comanche	76442-2473	(325)356-7129	 courtadmin@ci.comanche.tx.us
District	220th District Court	Comanche		Debra		Guthrie		Court Reporter	P O Box 364	Hamilton	76531	(254)386-1281	 crtadm220@bosquecounty.us
District	District Clerk Office	Comanche		Brandy		Jones		Clerk	P O Box 206	Comanche	76442-0206	(325)356-2342	
County	County Clerk Office	Comanche	Ms.	Ruby		Lesley		Clerk	101 W Central	Comanche	76442-3297	(325)356-2655	
